sep=;
"Methylamine";"25";"2.70 × 10-11";"10.657";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"N-methylaniline";"25";"1.41 × 10-5";"4.848";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Morpholine";"25";"4.67 × 10-9";"8.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Piperazine (1)";"23.5";"1.48 × 10-10";"9.83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Piperazine (2)";"23.5";"2.76 × 10-6";"5.56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Piperidine";"25";"7.53 × 10-12";"11.123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Purine";"20";"4.07 × 10-3";"2.39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrazine (1)";"27 ± 2";"2.24 × 10-1";"0.65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyridine";"25";"6.17 × 10-6";"5.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrimidine";"20";"2.24 × 10-1";"0.65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrrolidine";"25";"5.37 × 10-12";"11.27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Quinoline";"25";"1.35 × 10-5";"4.87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Toluidine";"25";"3.55 × 10-5";"4.45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-Toluidine";"25";"1.86 × 10-5";"4.73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-Toluidine";"25";"8.32 × 10-6";"5.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Triethylamine";"18";"9.77 × 10-12";"11.01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Trimethylamine";"25";"1.55 × 10-10";"9.81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Urea";"21";"7.94 × 10-1";"0.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chemist's Companion - A Handbook of Practical Data, Techniques, and References © 1972 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
