sep=;
"Pyrophosphoric (H4P2O7) (1)";"25";"1.0 × 10-1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrophosphoric (H4P2O7) (2)";"25";"1.0 × 10-2";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrophosphoric (H4P2O7) (3)";"25";"1.0 × 10-7";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pyrophosphoric (H4P2O7) (4)";"25";"1.0 × 10-9";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfanilic (H2NC6H4SO3H)";"25";"5.9 × 10-4";"3.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfuric (H2SO4) (1)";"25";"~1.0 × 103";"~-3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfuric (H2SO4) (2)";"25";"1.20 × 10-2";"1.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfurous (H2SO3) (1)";"18";"1.54 × 10-2";"1.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfurous (H2SO3) (2)";"18";"1.02 × 10-7";"6.91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chemist's Companion - A Handbook of Practical Data, Techniques, and References © 1972 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
